2020-02-22 15:51:09,744 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -2584 69 3256
2020-02-22 15:51:13,993 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -2552 67 3368
2020-02-22 15:52:05,108 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! EPIC chest at coords: -1992 32 3374
2020-02-22 15:52:08,369 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -2168 31 3502
2020-02-22 15:52:28,077 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! RARE chest at coords: -2189 32 3640
2020-02-22 15:52:28,118 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -2088 64 3640
2020-02-22 15:52:43,079 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -2136 74 3720
2020-02-22 15:52:47,901 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -1912 84 3640
2020-02-22 15:52:54,299 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-02-22 15:52:54,299 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! EPIC chest at coords: -1864 61 3576
2020-02-22 15:53:19,327 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1784 67 3528
2020-02-22 15:53:31,390 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -1690 63 3368
2020-02-22 15:53:31,434 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -1688 64 3432
2020-02-22 15:53:38,091 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1656 94 3544
2020-02-22 15:53:43,523 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -1728 37 3288
2020-02-22 15:53:49,495 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1608 94 3416
2020-02-22 15:53:57,463 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1560 87 3256
2020-02-22 15:54:20,554 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! EPIC chest at coords: -1416 94 3160
2020-02-22 15:54:25,915 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1384 63 3272
2020-02-22 15:54:32,415 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -1336 64 3400
2020-02-22 15:54:37,875 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -1306 65 3400
2020-02-22 15:54:43,165 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1256 70 3416
2020-02-22 15:54:53,111 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1176 64 3304
2020-02-22 15:54:55,469 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! RARE chest at coords: -1160 79 3416
2020-02-22 15:55:03,853 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1096 75 3224
2020-02-22 15:55:06,201 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1080 66 3384
2020-02-22 15:55:11,186 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1048 67 3304
2020-02-22 15:55:13,509 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1032 95 3464
2020-02-22 15:55:20,545 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -984 93 3368
2020-02-22 15:55:35,675 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! RARE chest at coords: -952 88 3464
2020-02-22 15:57:55,632 [Server thread] INFO Treasure2 | WitherTreeWorldGenerator.java:334 | CHEATER! wither chest at coords: -1176 93 3544
2020-02-22 15:57:55,800 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -1034 90 3544
2020-02-22 15:57:59,798 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1080 93 3560
2020-02-22 15:58:11,994 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -1144 64 3608
2020-02-22 15:58:17,094 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1240 74 3640
2020-02-22 15:58:27,605 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1304 97 3528
2020-02-22 15:58:55,588 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1144 66 3704
2020-02-22 15:59:06,054 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1272 67 3736
2020-02-22 15:59:19,754 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -1320 96 3656
2020-02-22 15:59:26,467 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! RARE chest at coords: -1208 65 3800
2020-02-22 15:59:33,352 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1416 87 3656
2020-02-22 16:00:16,167 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -1178 80 3846
2020-02-22 16:02:01,149 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! RARE chest at coords: -1432 48 3874
2020-02-22 16:02:13,153 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
